Time,EnvTemp1,EnvHum1,EnvTemp2,EnvHum2
2015-02-05 23:59:34,20.70,67.00,0.00,0.00
2015-02-06 00:00:29,20.70,67.00,0.00,0.00
2015-02-06 00:00:47,20.70,67.00,0.00,0.00
2015-02-06 00:01:24,20.70,67.00,0.00,0.00
2015-02-06 00:02:55,20.70,67.00,0.00,0.00
2015-02-06 00:03:51,20.70,67.10,0.00,0.00
2015-02-06 00:04:10,20.70,67.20,0.00,0.00
2015-02-06 00:04:46,20.70,67.30,0.00,0.00
2015-02-06 00:05:06,20.70,67.30,0.00,0.00
2015-02-06 00:05:24,20.70,67.30,0.00,0.00
2015-02-06 00:05:43,20.70,67.30,0.00,0.00
2015-02-06 00:06:02,20.70,67.30,0.00,0.00
2015-02-06 00:06:20,20.70,67.20,0.00,0.00
2015-02-06 00:07:15,20.70,67.20,0.00,0.00
2015-02-06 00:07:34,20.70,67.20,0.00,0.00
2015-02-06 00:07:53,20.70,67.20,0.00,0.00
2015-02-06 00:08:11,20.70,67.20,0.00,0.00
2015-02-06 00:08:30,20.70,67.20,0.00,0.00
2015-02-06 00:09:07,20.70,67.30,0.00,0.00
2015-02-06 00:09:25,20.60,67.30,0.00,0.00
2015-02-06 00:09:44,20.60,67.30,0.00,0.00
2015-02-06 00:10:21,20.60,67.30,0.00,0.00
2015-02-06 00:10:57,20.60,67.30,0.00,0.00
2015-02-06 00:12:10,20.60,67.20,0.00,0.00
2015-02-06 00:12:47,20.60,67.20,0.00,0.00
2015-02-06 00:13:07,20.60,67.20,0.00,0.00
2015-02-06 00:14:19,20.60,67.20,0.00,0.00
2015-02-06 00:14:38,20.60,67.30,0.00,0.00
2015-02-06 00:14:57,20.60,67.30,0.00,0.00
2015-02-06 00:15:16,20.60,67.30,0.00,0.00
2015-02-06 00:16:48,20.60,67.40,0.00,0.00
2015-02-06 00:17:25,20.50,67.40,0.00,0.00
2015-02-06 00:18:02,20.50,67.40,0.00,0.00
2015-02-06 00:18:39,20.50,67.50,0.00,0.00
2015-02-06 00:19:16,20.50,67.50,0.00,0.00
2015-02-06 00:20:11,20.50,67.50,0.00,0.00
2015-02-06 00:21:06,20.50,67.50,0.00,0.00
2015-02-06 00:21:25,20.50,67.50,0.00,0.00
2015-02-06 00:22:20,20.50,67.50,0.00,0.00
2015-02-06 00:23:15,20.50,67.50,0.00,0.00
2015-02-06 00:24:10,20.50,67.60,0.00,0.00
2015-02-06 00:25:05,20.50,67.60,0.00,0.00
2015-02-06 00:25:42,20.50,67.60,0.00,0.00
2015-02-06 00:26:19,20.50,67.70,0.00,0.00
2015-02-06 00:27:14,20.40,67.70,0.00,0.00
2015-02-06 00:28:13,20.40,67.70,0.00,0.00
2015-02-06 00:29:44,20.40,67.70,0.00,0.00
2015-02-06 00:30:03,20.40,67.70,0.00,0.00
2015-02-06 00:31:36,20.40,67.70,0.00,0.00
2015-02-06 00:32:31,20.40,67.80,0.00,0.00
2015-02-06 00:32:50,20.40,67.80,0.00,0.00
2015-02-06 00:33:26,20.30,67.80,0.00,0.00
2015-02-06 00:33:46,20.30,67.80,0.00,0.00
2015-02-06 00:34:47,20.30,67.80,0.00,0.00
2015-02-06 00:35:23,20.30,67.80,0.00,0.00
2015-02-06 00:36:00,20.30,67.90,0.00,0.00
2015-02-06 00:36:19,20.30,67.90,0.00,0.00
2015-02-06 00:37:14,20.30,67.90,0.00,0.00
2015-02-06 00:37:50,20.30,67.90,0.00,0.00
2015-02-06 00:38:46,20.30,67.90,0.00,0.00
2015-02-06 00:39:41,20.30,67.90,0.00,0.00
2015-02-06 00:40:00,20.30,68.00,0.00,0.00
2015-02-06 00:40:36,20.30,67.90,0.00,0.00
2015-02-06 00:41:32,20.30,67.90,0.00,0.00
2015-02-06 00:41:51,20.30,67.90,0.00,0.00
2015-02-06 00:42:10,20.30,67.90,0.00,0.00
2015-02-06 00:42:28,20.30,67.90,0.00,0.00
2015-02-06 00:44:17,20.30,67.90,0.00,0.00
2015-02-06 00:44:36,20.30,68.00,0.00,0.00
2015-02-06 00:45:30,20.30,68.00,0.00,0.00
2015-02-06 00:45:49,20.30,68.00,0.00,0.00
2015-02-06 00:46:08,20.30,68.00,0.00,0.00
2015-02-06 00:46:44,20.30,68.00,0.00,0.00
2015-02-06 00:47:39,20.20,68.00,0.00,0.00
2015-02-06 00:47:58,20.20,68.00,0.00,0.00
2015-02-06 00:48:16,20.30,68.00,0.00,0.00
2015-02-06 00:48:53,20.30,68.00,0.00,0.00
2015-02-06 00:49:12,20.30,68.00,0.00,0.00
2015-02-06 00:49:49,20.30,68.00,0.00,0.00
2015-02-06 00:50:25,20.30,68.10,0.00,0.00
2015-02-06 00:50:44,20.30,68.10,0.00,0.00
2015-02-06 00:51:03,20.20,68.10,0.00,0.00
2015-02-06 00:51:21,20.20,68.10,0.00,0.00
2015-02-06 00:51:40,20.20,68.00,0.00,0.00
2015-02-06 00:51:59,20.20,68.00,0.00,0.00
2015-02-06 00:52:53,20.20,68.00,0.00,0.00
2015-02-06 00:53:32,20.20,68.00,0.00,0.00
2015-02-06 00:53:51,20.20,68.10,0.00,0.00
2015-02-06 00:54:28,20.20,68.10,0.00,0.00
2015-02-06 00:55:22,20.20,68.10,0.00,0.00
2015-02-06 00:55:59,20.20,68.10,0.00,0.00
2015-02-06 00:56:18,20.20,68.00,0.00,0.00
2015-02-06 00:57:13,20.20,68.00,0.00,0.00
2015-02-06 00:57:31,20.20,68.00,0.00,0.00
2015-02-06 00:57:50,20.20,68.00,0.00,0.00
2015-02-06 00:58:09,20.20,68.00,0.00,0.00
2015-02-06 00:58:28,20.20,68.10,0.00,0.00
2015-02-06 00:58:46,20.20,68.10,0.00,0.00
2015-02-06 00:59:23,20.20,68.10,0.00,0.00
2015-02-06 01:00:00,20.20,68.20,0.00,0.00
2015-02-06 01:00:18,20.20,68.20,0.00,0.00
2015-02-06 01:01:31,20.20,68.10,0.00,0.00
2015-02-06 01:01:50,20.20,68.10,0.00,0.00
2015-02-06 01:02:26,20.20,68.10,0.00,0.00
2015-02-06 01:03:03,20.20,68.10,0.00,0.00
2015-02-06 01:03:40,20.20,68.10,0.00,0.00
2015-02-06 01:03:59,20.20,68.10,0.00,0.00
2015-02-06 01:04:17,20.20,68.10,0.00,0.00
2015-02-06 01:04:36,20.20,68.20,0.00,0.00
2015-02-06 01:05:13,20.20,68.20,0.00,0.00
2015-02-06 01:05:32,20.20,68.20,0.00,0.00
2015-02-06 01:06:08,20.10,68.20,0.00,0.00
2015-02-06 01:07:39,20.10,68.20,0.00,0.00
2015-02-06 01:07:58,20.10,68.20,0.00,0.00
2015-02-06 01:08:34,20.10,68.30,0.00,0.00
2015-02-06 01:09:48,20.10,68.30,0.00,0.00
2015-02-06 01:10:25,20.10,68.30,0.00,0.00
2015-02-06 01:11:02,20.10,68.30,0.00,0.00
2015-02-06 01:12:01,20.10,68.30,0.00,0.00
2015-02-06 01:12:58,20.10,68.30,0.00,0.00
2015-02-06 01:13:54,20.10,68.30,0.00,0.00
2015-02-06 01:15:09,20.10,68.30,0.00,0.00
2015-02-06 01:15:28,20.10,68.30,0.00,0.00
2015-02-06 01:15:46,20.10,68.40,0.00,0.00
2015-02-06 01:16:42,20.10,68.40,0.00,0.00
2015-02-06 01:17:39,20.10,68.40,0.00,0.00
2015-02-06 01:18:16,20.10,68.40,0.00,0.00
2015-02-06 01:18:54,20.10,68.40,0.00,0.00
2015-02-06 01:19:31,20.00,68.40,0.00,0.00
2015-02-06 01:19:50,20.00,68.40,0.00,0.00
2015-02-06 01:20:09,20.00,68.30,0.00,0.00
2015-02-06 01:20:46,20.00,68.30,0.00,0.00
2015-02-06 01:21:05,20.00,68.30,0.00,0.00
2015-02-06 01:21:42,20.00,68.40,0.00,0.00
2015-02-06 01:22:38,20.00,68.40,0.00,0.00
2015-02-06 01:22:57,20.00,68.40,0.00,0.00
2015-02-06 01:23:36,20.00,68.40,0.00,0.00
2015-02-06 01:23:55,20.00,68.40,0.00,0.00
2015-02-06 01:24:36,20.00,68.40,0.00,0.00
2015-02-06 01:24:56,20.00,68.40,0.00,0.00
2015-02-06 01:25:52,20.00,68.40,0.00,0.00
2015-02-06 01:26:47,20.00,68.40,0.00,0.00
2015-02-06 01:27:24,20.00,68.40,0.00,0.00
2015-02-06 01:28:19,20.00,68.40,0.00,0.00
2015-02-06 01:29:14,20.00,68.40,0.00,0.00
2015-02-06 01:30:11,20.00,68.40,0.00,0.00
2015-02-06 01:31:08,20.00,68.40,0.00,0.00
2015-02-06 01:32:03,20.00,68.50,0.00,0.00
2015-02-06 01:32:22,20.00,68.50,0.00,0.00
2015-02-06 01:32:41,20.00,68.50,0.00,0.00
2015-02-06 01:33:36,20.00,68.50,0.00,0.00
2015-02-06 01:34:49,20.00,68.50,0.00,0.00
