Time,Temperature,pH
2015-02-05 23:59:34,7.16,26.92
2015-02-06 00:00:29,7.16,26.91
2015-02-06 00:00:47,7.16,26.90
2015-02-06 00:01:24,7.16,26.89
2015-02-06 00:02:55,7.16,26.88
2015-02-06 00:03:51,7.16,26.87
2015-02-06 00:04:10,7.16,26.87
2015-02-06 00:04:46,7.16,26.86
2015-02-06 00:05:06,7.16,26.87
2015-02-06 00:05:24,7.16,26.86
2015-02-06 00:05:43,7.17,26.85
2015-02-06 00:06:02,7.17,26.84
2015-02-06 00:06:20,7.17,26.84
2015-02-06 00:07:15,7.17,26.83
2015-02-06 00:07:34,7.17,26.82
2015-02-06 00:07:53,7.17,26.83
2015-02-06 00:08:11,7.17,26.82
2015-02-06 00:08:30,7.17,26.81
2015-02-06 00:09:07,7.17,26.81
2015-02-06 00:09:25,7.17,26.81
2015-02-06 00:09:44,7.17,26.80
2015-02-06 00:10:21,7.17,26.79
2015-02-06 00:10:57,7.17,26.78
2015-02-06 00:12:10,7.17,26.77
2015-02-06 00:12:47,7.17,26.76
2015-02-06 00:13:07,7.17,26.75
2015-02-06 00:14:19,7.17,26.74
2015-02-06 00:14:38,7.17,26.73
2015-02-06 00:14:57,7.17,26.74
2015-02-06 00:15:16,7.17,26.73
2015-02-06 00:16:48,7.17,26.72
2015-02-06 00:17:25,7.17,26.71
2015-02-06 00:18:02,7.17,26.70
2015-02-06 00:18:39,7.17,26.69
2015-02-06 00:19:16,7.17,26.68
2015-02-06 00:20:11,7.17,26.67
2015-02-06 00:21:06,7.16,26.67
2015-02-06 00:21:25,7.16,26.65
2015-02-06 00:22:20,7.16,26.64
2015-02-06 00:23:15,7.16,26.63
2015-02-06 00:24:10,7.16,26.62
2015-02-06 00:25:05,7.16,26.61
2015-02-06 00:25:42,7.16,26.60
2015-02-06 00:26:19,7.16,26.59
2015-02-06 00:27:14,7.16,26.58
2015-02-06 00:28:13,7.16,26.56
2015-02-06 00:29:44,7.16,26.55
2015-02-06 00:30:03,7.16,26.54
2015-02-06 00:31:36,7.16,26.52
2015-02-06 00:32:31,7.16,26.52
2015-02-06 00:32:50,7.16,26.51
2015-02-06 00:33:26,7.16,26.51
2015-02-06 00:33:46,7.16,26.50
2015-02-06 00:34:47,7.16,26.49
2015-02-06 00:35:23,7.16,26.48
2015-02-06 00:36:00,7.16,26.48
2015-02-06 00:36:19,7.16,26.47
2015-02-06 00:37:14,7.16,26.46
2015-02-06 00:37:50,7.16,26.45
2015-02-06 00:38:46,7.16,26.44
2015-02-06 00:39:41,7.17,26.43
2015-02-06 00:40:00,7.17,26.43
2015-02-06 00:40:36,7.17,26.42
2015-02-06 00:41:32,7.17,26.41
2015-02-06 00:41:51,7.16,26.41
2015-02-06 00:42:10,7.16,26.40
2015-02-06 00:42:28,7.16,26.39
2015-02-06 00:44:17,7.15,26.38
2015-02-06 00:44:36,7.15,26.38
2015-02-06 00:45:30,7.15,26.37
2015-02-06 00:45:49,7.15,26.36
2015-02-06 00:46:08,7.15,26.35
2015-02-06 00:46:44,7.15,26.34
2015-02-06 00:47:39,7.15,26.35
2015-02-06 00:47:58,7.15,26.33
2015-02-06 00:48:16,7.15,26.32
2015-02-06 00:48:53,7.15,26.33
2015-02-06 00:49:12,7.15,26.32
2015-02-06 00:49:49,7.15,26.31
2015-02-06 00:50:25,7.15,26.31
2015-02-06 00:50:44,7.15,26.30
2015-02-06 00:51:03,7.15,26.30
2015-02-06 00:51:21,7.15,26.29
2015-02-06 00:51:40,7.15,26.30
2015-02-06 00:51:59,7.15,26.29
2015-02-06 00:52:53,7.15,26.28
2015-02-06 00:53:32,7.15,26.27
2015-02-06 00:53:51,7.15,26.27
2015-02-06 00:54:28,7.15,26.26
2015-02-06 00:55:22,7.15,26.25
2015-02-06 00:55:59,7.15,26.24
2015-02-06 00:56:18,7.15,26.24
2015-02-06 00:57:13,7.15,26.23
2015-02-06 00:57:31,7.15,26.22
2015-02-06 00:57:50,7.15,26.23
2015-02-06 00:58:09,7.15,26.22
2015-02-06 00:58:28,7.16,26.22
2015-02-06 00:58:46,7.16,26.21
2015-02-06 00:59:23,7.16,26.20
2015-02-06 01:00:00,7.16,26.20
2015-02-06 01:00:18,7.16,26.20
2015-02-06 01:01:31,7.16,26.19
2015-02-06 01:01:50,7.16,26.18
2015-02-06 01:02:26,7.16,26.17
2015-02-06 01:03:03,7.16,26.16
2015-02-06 01:03:40,7.16,26.15
2015-02-06 01:03:59,7.16,26.14
2015-02-06 01:04:17,7.16,26.15
2015-02-06 01:04:36,7.16,26.15
2015-02-06 01:05:13,7.16,26.14
2015-02-06 01:05:32,7.16,26.13
2015-02-06 01:06:08,7.17,26.12
2015-02-06 01:07:39,7.17,26.11
2015-02-06 01:07:58,7.17,26.10
2015-02-06 01:08:34,7.17,26.09
2015-02-06 01:09:48,7.17,26.08
2015-02-06 01:10:25,7.17,26.07
2015-02-06 01:11:02,7.17,26.06
2015-02-06 01:12:01,7.17,26.05
2015-02-06 01:12:58,7.17,26.04
2015-02-06 01:13:54,7.17,26.03
2015-02-06 01:15:09,7.17,26.02
2015-02-06 01:15:28,7.17,26.01
2015-02-06 01:15:46,7.17,26.01
2015-02-06 01:16:42,7.17,26.00
2015-02-06 01:17:39,7.17,25.99
2015-02-06 01:18:16,7.17,25.98
2015-02-06 01:18:54,7.17,25.97
2015-02-06 01:19:31,7.17,25.97
2015-02-06 01:19:50,7.17,25.96
2015-02-06 01:20:09,7.17,25.96
2015-02-06 01:20:46,7.17,25.95
2015-02-06 01:21:05,7.17,25.94
2015-02-06 01:21:42,7.17,25.93
